time,temp
04-Aug-21 00:04:46,31.476
04-Aug-21 00:10:14,30.4
04-Aug-21 00:15:42,30.4
04-Aug-21 00:21:10,30.4
04-Aug-21 00:26:37,30.4
04-Aug-21 00:32:06,30.938
04-Aug-21 00:37:33,30.4
04-Aug-21 00:43:02,30.4
04-Aug-21 00:48:30,30.4
04-Aug-21 00:53:57,29.862
04-Aug-21 00:59:26,30.4
04-Aug-21 01:04:53,30.4
04-Aug-21 01:10:22,30.4
04-Aug-21 01:15:50,30.4
04-Aug-21 01:21:17,29.862
04-Aug-21 01:26:45,30.4
04-Aug-21 01:32:13,29.862
04-Aug-21 01:37:41,30.4
04-Aug-21 01:43:09,29.862
04-Aug-21 01:48:37,29.862
04-Aug-21 01:54:05,29.862
04-Aug-21 01:59:34,29.862
04-Aug-21 02:05:02,29.324
04-Aug-21 02:10:30,29.862
04-Aug-21 02:15:58,29.862
04-Aug-21 02:21:27,29.862
04-Aug-21 02:26:54,30.4
04-Aug-21 02:32:23,29.862
04-Aug-21 02:37:50,29.862
04-Aug-21 02:43:18,29.862
04-Aug-21 02:48:46,30.4
04-Aug-21 02:54:14,29.324
04-Aug-21 02:59:43,29.862
04-Aug-21 03:05:11,29.862
04-Aug-21 03:10:39,30.4
04-Aug-21 03:16:06,29.324
04-Aug-21 03:21:34,29.862
04-Aug-21 03:27:02,29.324
04-Aug-21 03:32:30,29.862
04-Aug-21 03:37:58,29.862
04-Aug-21 03:43:27,29.862
04-Aug-21 03:48:54,29.324
04-Aug-21 03:54:23,29.324
04-Aug-21 03:59:51,29.324
04-Aug-21 04:05:19,29.324
04-Aug-21 04:10:46,29.324
04-Aug-21 04:16:15,29.862
04-Aug-21 04:21:43,29.324
04-Aug-21 04:27:11,29.862
04-Aug-21 04:32:39,29.324
04-Aug-21 04:38:07,29.324
04-Aug-21 04:43:35,29.324
04-Aug-21 04:49:03,29.324
04-Aug-21 04:54:32,29.324
04-Aug-21 04:59:59,29.324
04-Aug-21 05:05:27,29.324
04-Aug-21 05:10:55,28.786
04-Aug-21 05:16:23,29.324
04-Aug-21 05:21:55,29.324
04-Aug-21 05:27:24,29.324
04-Aug-21 05:32:52,29.324
04-Aug-21 05:38:20,29.324
04-Aug-21 05:43:47,28.248
04-Aug-21 05:49:16,28.248
04-Aug-21 05:54:44,29.324
04-Aug-21 06:00:12,28.786
04-Aug-21 06:05:41,28.786
04-Aug-21 06:11:09,29.324
04-Aug-21 06:16:37,28.786
04-Aug-21 06:22:05,29.324
04-Aug-21 06:27:33,28.786
04-Aug-21 06:33:01,28.248
04-Aug-21 06:38:29,28.248
04-Aug-21 06:43:57,27.71
04-Aug-21 06:49:25,28.248
04-Aug-21 06:54:53,27.71
04-Aug-21 07:00:21,28.248
04-Aug-21 07:05:49,28.786
04-Aug-21 07:11:17,28.786
04-Aug-21 07:16:45,28.786
04-Aug-21 07:22:13,28.248
04-Aug-21 07:27:40,28.248
04-Aug-21 07:33:08,28.786
04-Aug-21 07:38:35,28.786
04-Aug-21 07:44:03,27.71
04-Aug-21 07:49:31,28.248
04-Aug-21 07:55:00,28.248
04-Aug-21 08:00:27,28.248
04-Aug-21 08:05:55,28.248
04-Aug-21 08:11:23,29.324
04-Aug-21 08:16:51,29.324
04-Aug-21 08:22:20,29.324
04-Aug-21 08:27:48,29.324
04-Aug-21 08:33:17,28.786
04-Aug-21 08:38:45,29.324
04-Aug-21 08:44:13,29.324
04-Aug-21 08:49:41,29.324
04-Aug-21 08:55:10,29.862
04-Aug-21 09:00:37,29.862
04-Aug-21 09:06:05,29.862
04-Aug-21 09:11:33,29.324
04-Aug-21 09:17:02,30.4
04-Aug-21 09:22:29,29.862
04-Aug-21 09:27:58,29.862
04-Aug-21 09:33:26,29.862
04-Aug-21 09:38:54,30.938
04-Aug-21 09:44:23,30.938
04-Aug-21 09:49:51,30.4
04-Aug-21 09:55:19,30.938
04-Aug-21 10:00:48,30.938
04-Aug-21 10:06:15,31.476
04-Aug-21 10:11:43,30.938
04-Aug-21 10:17:11,30.938
04-Aug-21 10:22:39,30.938
04-Aug-21 10:28:08,31.476
04-Aug-21 10:33:36,31.476
04-Aug-21 10:39:04,31.476
04-Aug-21 10:44:32,30.938
04-Aug-21 10:50:00,32.014
